637148.03,849062.47,422.24
637097.87,849199.74,411.12
637125.16,849006.20,432.25
637112.89,848963.09,448.39
637086.94,848996.59,431.96
637053.51,849075.26,421.29
636965.26,849412.83,411.22
637018.96,849108.53,421.00
637042.52,848941.73,432.55
637012.24,849028.31,431.66
636993.57,849069.98,445.54
636971.82,849125.43,417.91
636962.24,849128.77,434.38
636963.62,849065.52,428.58
636947.28,849087.86,429.07
636950.30,849010.83,428.15
636912.27,849155.05,422.05
636934.06,848994.55,428.54
636906.17,849093.01,459.81
636896.33,849087.70,446.39
636901.51,848995.28,427.69
636880.31,849056.33,427.00
636843.73,849193.47,412.63
636873.92,848973.79,446.92
636830.58,849153.77,429.86
636854.23,848961.48,426.74
636806.46,849169.55,426.35
636797.18,849161.84,439.50
636805.84,849052.72,426.67
636784.74,849106.66,426.71
636763.65,849165.91,425.52
636783.14,848996.78,425.66
636741.27,849169.88,425.59
636748.43,849070.18,426.80
636752.49,848993.50,425.30
636709.68,849160.30,425.72
636701.57,849144.78,426.15
636723.13,848977.99,425.62
636666.17,849221.03,437.40
636699.38,848991.01,425.39
636655.28,849170.70,426.64
636668.37,849059.09,424.28
636659.65,849059.51,424.11
636661.02,849008.17,425.13
636649.93,849008.96,424.90
636646.06,848980.61,426.25
636630.94,849016.44,424.90
636599.18,849122.05,424.84
636524.41,849442.26,441.31
636601.87,849018.60,425.10
636542.39,849257.32,413.55
636578.28,849040.29,428.28
636484.12,849441.34,410.83
636552.07,849058.56,428.61
636522.67,849155.12,430.81
636522.47,849103.48,430.15
636483.89,849242.68,422.41
636521.52,849010.76,427.26
636469.39,849216.73,428.38
636451.97,849250.59,435.17
636461.61,849152.56,448.39
636482.38,849005.71,427.20
636425.30,849226.84,432.74
636410.60,849247.67,428.22
636447.47,849032.05,428.48
636396.33,849226.74,426.77
636418.44,849083.40,429.99
636380.71,849214.30,427.99
636411.42,849031.14,428.38
636326.71,849372.28,408.60
636381.56,849075.10,429.76
636322.70,849328.28,488.48
636331.23,849235.50,428.31
636374.05,849004.20,430.51
636326.48,849179.20,428.15
636301.15,849258.10,428.02
636354.33,848970.44,427.72
636295.21,849206.82,428.18
636269.16,849300.69,460.50
636268.21,849260.73,427.92
636285.93,849149.38,428.05
636299.34,849057.78,428.12
636307.87,848988.62,428.08
636287.63,849039.47,428.08
636237.14,849233.10,427.95
636216.63,849308.76,496.19
636207.58,849296.26,427.66
636216.44,849224.41,427.99
636216.40,849192.49,428.05
636198.79,849238.09,428.05
636181.33,849296.10,480.18
636170.11,849314.90,488.02
636129.13,849442.39,407.32
636158.53,849289.07,427.95
636199.61,849077.76,427.95
636203.41,849039.21,428.12
636137.63,849292.62,428.08
636110.56,849381.46,439.73
636163.22,849117.59,428.08
636145.60,849170.47,428.15
636083.30,849398.65,407.35
636092.59,849332.71,427.03
636120.54,849180.94,428.02
636133.37,849104.33,428.15
636064.37,849375.95,466.80
636092.95,849216.96,427.95
636137.07,849009.65,428.05
636067.72,849272.08,428.08
636034.84,849387.53,458.83
636037.53,849338.45,423.06
636043.60,849282.25,428.02
636043.21,849250.49,427.89
636055.41,849166.54,427.99
636070.80,849070.14,427.99
636076.74,849022.18,427.99
636014.93,849246.42,426.64
635967.36,849410.53,422.21
635976.38,849343.37,423.98
635998.49,849221.26,425.00
636043.77,849006.04,427.95
635993.31,849192.39,425.62
635935.14,849400.56,421.75
635958.50,849282.68,441.34
636016.73,849021.19,427.92
635945.37,849283.50,425.13
635908.79,849401.57,418.27
635899.05,849412.50,411.68
635899.87,849383.46,425.07
635895.44,849371.95,424.34
635883.43,849390.78,423.69
635882.81,849364.01,423.26
635937.47,849115.12,427.17
635924.25,849149.77,428.22
635871.78,849333.89,424.11
635847.60,849405.58,422.64
635878.87,849254.49,429.27
635913.75,849087.40,427.13
635932.64,848993.41,426.21
635891.70,849134.48,427.49
635869.16,849206.43,444.46
635845.64,849273.00,428.61
635826.80,849324.21,424.87
635798.85,849415.65,429.86
635827.13,849282.48,427.76
